"Story","Title","Result","Date","Stability","Duration (s)"
"ACT-2 - Service Level Selection","VIR-227.01 Verify that the customer can view the service level field right of the contract drop down","ERROR","2017-08-11T14:07:17.812+03:00","0.0","0.22"
"ACT-2 - Service Level Selection","VIR-227.02 Verify that the shopper can view the following service level options in the dropdown field","ERROR","2017-08-11T14:07:18.344+03:00","0.0","0.18"
"ACT-2 - Service Level Selection","VIR-227.03 Verify that the Tailgate service level option is selected by default","ERROR","2017-08-11T14:07:18.860+03:00","0.0","0.09"
"ACT-2 - Service Level Selection","VIR-227.04 Verify that the customer can set any service level from the shown options","ERROR","2017-08-11T14:07:19.350+03:00","0.0","0.16"
"ACT-17 - My Account View Options","VIR-242.01 Verify that the following sub menu My Account menu has following options","ERROR","2017-08-11T14:07:04.024+03:00","0.0","0.54"
"ACT-17 - My Account View Options","VIR-242.02 Verify that the shopper is moved to the appropriate page after clicking on the sub-menu option","ERROR","2017-08-11T14:07:04.969+03:00","0.0","0.47"
"ACT-19 - Static Email Address","VIR-244.01 Verify that the shopper can see their email address within Email in My Account Menu","ERROR","2017-08-11T14:07:07.833+03:00","0.0","0.32"
"ACT-19 - Static Email Address","VIR-244.02 Verify that the email address is not editable","ERROR","2017-08-11T14:07:08.321+03:00","0.0","0.19"
"ACT-21 - View Saved Carts","VIR-246.01 Verify that the shopper can see the saved carts within My Account","ERROR","2017-08-11T14:07:12.306+03:00","0.0","0.22"
"ACT-21 - View Saved Carts","VIR-246.02 Remove all from saved carts","ERROR","2017-08-11T14:07:12.940+03:00","0.0","0.19"
"ACT-21 - View Saved Carts","VIR-246.03 Verify that the saved cart is shown on the saved carts page","ERROR","2017-08-11T14:07:13.491+03:00","0.0","0.27"
"ACT-21 - View Saved Carts","VIR-246.04 Verify that the products and their selected quantities are shown at the saved cart page","ERROR","2017-08-11T14:07:14.113+03:00","0.0","0.23"
"ACT-21 - View Saved Carts","VIR-246.05 Verify that saved cart can be restored","ERROR","2017-08-11T14:07:14.578+03:00","0.0","0.18"
"ACT-21 - View Saved Carts","VIR-246.06 Verify that saved cart can be updated","ERROR","2017-08-11T14:07:15.000+03:00","0.0","0.26"
"ACT-21 - View Saved Carts","VIR-246.07 Verify that saved cart can be removed","ERROR","2017-08-11T14:07:15.519+03:00","0.0","0.23"
"ACT-22 - View Personal Details","VIR-247.01 Verify that the shopper can see their personal details within My Account","ERROR","2017-08-11T14:07:16.403+03:00","0.0","0.23"
"ACT-22 - View Personal Details","VIR-247.02 Verify that the information is shown on Personal Details page","ERROR","2017-08-11T14:07:16.784+03:00","0.0","0.22"
"ACT-22 - View Personal Details","VIR-247.03 Verify that the shopper can edit the following personal details","ERROR","2017-08-11T14:07:17.202+03:00","0.0","0.2"
